timestamp,hour,minute,second,day_of_week,ip,count,anomaly
2024-10-03 18:56:54+00:00,18.0,56.0,54.0,3.0,172.17.0.1,39,-1
2024-10-03 18:56:55+00:00,18.0,56.0,55.0,3.0,172.17.0.1,318,-1
2024-10-03 18:56:56+00:00,18.0,56.0,56.0,3.0,172.17.0.1,203,-1
2024-10-03 18:56:57+00:00,18.0,56.0,57.0,3.0,172.17.0.1,238,-1
2024-10-03 18:56:58+00:00,18.0,56.0,58.0,3.0,172.17.0.1,202,-1
2024-10-03 19:47:35+00:00,19.0,47.0,35.0,3.0,172.17.0.1,3,-1
