/docker-entrypoint.,"h: /docker-entrypoint.d/ is not empty, will attempt to perform configuration"
/docker-entrypoint.,h: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.,h: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-b,-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-b,-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.,h: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.,h: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.,h: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.,h: Configuration complete; ready for start up
2024/10/03 17:09:07,"[notice] 1#1: using the ""epoll"" event method"
2024/10/03 17:09:07,[notice] 1#1: nginx/1.27.2
2024/10/03 17:09:07,[notice] 1#1: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/10/03 17:09:07,[notice] 1#1: OS: Linux 5.15.153.1-microsoft-standard-WSL2
2024/10/03 17:09:07,[notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/10/03 17:09:07,[notice] 1#1: start worker processes
2024/10/03 17:09:07,[notice] 1#1: start worker process 30
2024/10/03 17:09:07,[notice] 1#1: start worker process 31
2024/10/03 17:09:07,[notice] 1#1: start worker process 32
2024/10/03 17:09:07,[notice] 1#1: start worker process 33
172.17.0.1 - - [03/,"ct/2024:17:09:41 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"" ""-"""
2024/10/03 17:09:42,"[error] 30#30: *1 open() ""/usr/share/nginx/html/favicon.ico"" failed (2: No such file or directory), client: 172.17.0.1, server: localhost, request: ""GET /favicon.ico HTTP/1.1"", host: ""localhost:8080"", referrer: ""http://localhost:8080/"""
172.17.0.1 - - [03/,"ct/2024:17:09:42 +0000] ""GET /favicon.ico HTTP/1.1"" 404 555 ""http://localhost:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:19 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:20 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:20 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:21 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:21 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:22 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:22 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
172.17.0.1 - - [03/,"ct/2024:17:23:23 +0000] ""GET / HTTP/1.1"" 200 159 ""-"" ""UCEVAIANORMAL"" ""-"""
